datetime,agency_cd,site_no,datetime,173901_00060_00001,173901_00060_00001_cd,173902_00060_00002,173902_00060_00002_cd,173903_00060_00003,173903_00060_00003_cd
2015-03-11,USGS,8183978,2015-03-11,0.0,A,0.0,A,0.0,A
2015-03-12,USGS,8183978,2015-03-12,0.0,A,0.0,A,0.0,A
2015-03-13,USGS,8183978,2015-03-13,0.0,A,0.0,A,0.0,A
2015-03-14,USGS,8183978,2015-03-14,0.0,A,0.0,A,0.0,A
2015-03-15,USGS,8183978,2015-03-15,0.0,A,0.0,A,0.0,A
2015-03-16,USGS,8183978,2015-03-16,0.0,A,0.0,A,0.0,A
2015-03-17,USGS,8183978,2015-03-17,0.0,A,0.0,A,0.0,A
2015-03-18,USGS,8183978,2015-03-18,0.0,A,0.0,A,0.0,A
2015-03-19,USGS,8183978,2015-03-19,0.0,A,0.0,A,0.0,A
2015-03-20,USGS,8183978,2015-03-20,0.0,A,0.0,A,0.0,A
2015-03-21,USGS,8183978,2015-03-21,0.01,A,0.0,A,0.0,A
2015-03-22,USGS,8183978,2015-03-22,0.0,A,0.0,A,0.0,A
2015-03-23,USGS,8183978,2015-03-23,0.0,A,0.0,A,0.0,A
2015-03-24,USGS,8183978,2015-03-24,0.0,A,0.0,A,0.0,A
2015-03-25,USGS,8183978,2015-03-25,0.0,A,0.0,A,0.0,A
2015-03-26,USGS,8183978,2015-03-26,0.0,A,0.0,A,0.0,A
2015-03-27,USGS,8183978,2015-03-27,0.0,A,0.0,A,0.0,A
2015-03-28,USGS,8183978,2015-03-28,0.0,A,0.0,A,0.0,A
2015-03-29,USGS,8183978,2015-03-29,0.0,A,0.0,A,0.0,A
2015-03-30,USGS,8183978,2015-03-30,0.0,A,0.0,A,0.0,A
2015-03-31,USGS,8183978,2015-03-31,0.0,A,0.0,A,0.0,A
2015-04-01,USGS,8183978,2015-04-01,0.0,A,0.0,A,0.0,A
2015-04-02,USGS,8183978,2015-04-02,0.0,A,0.0,A,0.0,A
2015-04-03,USGS,8183978,2015-04-03,0.0,A,0.0,A,0.0,A
2015-04-04,USGS,8183978,2015-04-04,0.0,A,0.0,A,0.0,A
2015-04-05,USGS,8183978,2015-04-05,0.0,A,0.0,A,0.0,A
2015-04-06,USGS,8183978,2015-04-06,0.0,A,0.0,A,0.0,A
2015-04-07,USGS,8183978,2015-04-07,0.0,A,0.0,A,0.0,A
2015-04-08,USGS,8183978,2015-04-08,0.0,A,0.0,A,0.0,A
2015-04-09,USGS,8183978,2015-04-09,0.0,A,0.0,A,0.0,A
2015-04-10,USGS,8183978,2015-04-10,0.0,A,0.0,A,0.0,A
2015-04-11,USGS,8183978,2015-04-11,0.0,A,0.0,A,0.0,A
2015-04-12,USGS,8183978,2015-04-12,0.04,A,0.0,A,0.0,A
2015-04-13,USGS,8183978,2015-04-13,0.01,A,0.0,A,0.0,A
2015-04-14,USGS,8183978,2015-04-14,0.0,A,0.0,A,0.0,A
2015-04-15,USGS,8183978,2015-04-15,0.0,A,0.0,A,0.0,A
2015-04-16,USGS,8183978,2015-04-16,26.6,A,0.0,A,0.83,A
2015-04-17,USGS,8183978,2015-04-17,0.03,A,0.0,A,0.0,A
2015-04-18,USGS,8183978,2015-04-18,0.0,A,0.0,A,0.0,A
2015-04-19,USGS,8183978,2015-04-19,0.0,A,0.0,A,0.0,A
2015-04-20,USGS,8183978,2015-04-20,0.0,A,0.0,A,0.0,A
2015-04-21,USGS,8183978,2015-04-21,0.0,A,0.0,A,0.0,A
2015-04-22,USGS,8183978,2015-04-22,0.0,A,0.0,A,0.0,A
2015-04-23,USGS,8183978,2015-04-23,0.0,A,0.0,A,0.0,A
2015-04-24,USGS,8183978,2015-04-24,0.06,A,0.0,A,0.0,A
2015-04-25,USGS,8183978,2015-04-25,0.03,A,0.0,A,0.0,A
2015-04-26,USGS,8183978,2015-04-26,0.0,A,0.0,A,0.0,A
2015-04-27,USGS,8183978,2015-04-27,0.22,A,0.0,A,0.0,A
2015-04-28,USGS,8183978,2015-04-28,0.0,A,0.0,A,0.0,A
2015-04-29,USGS,8183978,2015-04-29,0.0,A,0.0,A,0.0,A
2015-04-30,USGS,8183978,2015-04-30,0.0,A,0.0,A,0.0,A
2015-05-01,USGS,8183978,2015-05-01,0.0,A,0.0,A,0.0,A
2015-05-02,USGS,8183978,2015-05-02,0.0,A,0.0,A,0.0,A
2015-05-03,USGS,8183978,2015-05-03,0.0,A,0.0,A,0.0,A
2015-05-04,USGS,8183978,2015-05-04,0.0,A,0.0,A,0.0,A
2015-05-05,USGS,8183978,2015-05-05,0.0,A,0.0,A,0.0,A
2015-05-06,USGS,8183978,2015-05-06,0.0,A,0.0,A,0.0,A
2015-05-07,USGS,8183978,2015-05-07,0.0,A,0.0,A,0.0,A
2015-05-08,USGS,8183978,2015-05-08,0.0,A,0.0,A,0.0,A
2015-05-09,USGS,8183978,2015-05-09,0.0,A,0.0,A,0.0,A
2015-05-10,USGS,8183978,2015-05-10,0.0,A,0.0,A,0.0,A
2015-05-11,USGS,8183978,2015-05-11,0.0,A,0.0,A,0.0,A
2015-05-12,USGS,8183978,2015-05-12,0.0,A,0.0,A,0.0,A
2015-05-13,USGS,8183978,2015-05-13,0.58,A,0.0,A,0.08,A
2015-05-14,USGS,8183978,2015-05-14,0.03,A,0.0,A,0.0,A
2015-05-15,USGS,8183978,2015-05-15,16.0,A,0.0,A,1.0,A
2015-05-16,USGS,8183978,2015-05-16,49.5,A,0.03,A,17.9,A
2015-05-17,USGS,8183978,2015-05-17,,,,,70.0,A:e
2015-05-18,USGS,8183978,2015-05-18,,,,,230.0,A:e
2015-05-19,USGS,8183978,2015-05-19,,,,,156.0,A:e
2015-05-20,USGS,8183978,2015-05-20,,,,,85.4,A:e
2015-05-21,USGS,8183978,2015-05-21,62.3,A,23.6,A,42.2,A
2015-05-22,USGS,8183978,2015-05-22,57.3,A,7.21,A,31.5,A
2015-05-23,USGS,8183978,2015-05-23,,,,,50.0,A:e
2015-05-26,USGS,8183978,2015-05-26,,,,,450.0,A:e
2015-05-27,USGS,8183978,2015-05-27,412.0,A,358.0,A,384.0,A
