datetime,MaxLevel
2017-07-22,656.4
2017-07-21,656.7
2017-07-20,656.6
2017-07-19,657.7
2017-07-18,658.4
2017-07-17,659.1
2017-07-16,659.3
2017-07-15,658.1
2017-07-14,657.8
2017-07-13,658.1
2017-07-12,658.3
2017-07-11,658.5
2017-07-10,659.3
2017-07-09,660.0
2017-07-08,659.9
2017-07-07,660.2
2017-07-06,660.6
2017-07-05,661.5
2017-07-04,662.3
2017-07-03,663.4
2017-07-02,663.7
2017-07-01,663.5
2017-06-30,663.9
2017-06-29,664.7
2017-06-28,664.5
2017-06-27,664.1
2017-06-26,664.2
2017-06-25,663.7
2017-06-24,663.0
2017-06-23,663.6
2017-06-22,664.3
2017-06-21,665.2
2017-06-20,665.7
2017-06-19,666.7
2017-06-18,667.3
2017-06-17,667.6
2017-06-16,668.1
2017-06-15,669.1
2017-06-14,670.0
2017-06-13,671.0
2017-06-12,672.1
2017-06-11,672.8
2017-06-10,673.0
2017-06-09,673.5
2017-06-08,673.9
2017-06-07,674.0
2017-06-06,674.2
2017-06-05,674.2
2017-06-04,674.1
2017-06-03,673.7
2017-06-02,673.1
2017-06-01,672.7
2017-05-31,671.8
2017-05-30,670.9
2017-05-29,671.6
2017-05-28,671.4
2017-05-27,671.0
2017-05-26,671.3
2017-05-25,671.5
2017-05-24,671.9
2017-05-23,672.0
2017-05-22,672.0
2017-05-21,671.3
2017-05-20,670.8
2017-05-19,670.9
2017-05-18,671.1
2017-05-17,671.1
2017-05-16,671.1
2017-05-15,671.8
2017-05-14,672.2
2017-05-13,672.3
2017-05-12,672.6
2017-05-11,673.0
2017-05-10,672.9
2017-05-09,673.2
2017-05-08,673.6
2017-05-07,674.4
2017-05-06,674.6
2017-05-05,674.8
2017-05-04,675.5
2017-05-03,675.9
2017-05-02,676.4
2017-05-01,677.2
2017-04-30,677.6
2017-04-29,677.5
2017-04-28,678.1
2017-04-27,678.3
2017-04-26,679.0
2017-04-25,679.3
2017-04-24,680.0
2017-04-23,680.6
2017-04-22,680.5
2017-04-21,680.9
2017-04-20,681.2
2017-04-19,681.0
2017-04-18,681.3
2017-04-17,681.4
2017-04-16,681.5
2017-04-15,681.4
2017-04-14,681.6
2017-04-13,681.6
2017-04-12,681.4
2017-04-11,681.3
2017-04-10,681.3
2017-04-09,681.7
2017-04-08,681.6
2017-04-07,681.6
2017-04-06,681.8
2017-04-05,682.1
2017-04-04,682.3
2017-04-03,682.2
2017-04-02,682.4
2017-04-01,682.2
2017-03-31,682.3
2017-03-30,682.2
2017-03-29,682.1
2017-03-28,682.3
2017-03-27,682.7
2017-03-26,683.4
2017-03-25,683.7
2017-03-24,684.1
2017-03-23,684.7
2017-03-22,685.0
2017-03-21,685.1
2017-03-20,685.6
2017-03-19,685.7
2017-03-18,685.9
2017-03-17,686.0
2017-03-16,686.3
2017-03-15,686.5
2017-03-14,686.4
2017-03-13,686.7
2017-03-12,686.7
2017-03-11,686.6
2017-03-10,686.6
2017-03-09,686.6
2017-03-08,686.5
2017-03-07,686.6
2017-03-06,686.8
2017-03-05,686.6
2017-03-04,686.3
2017-03-03,686.2
2017-03-02,686.5
2017-03-01,686.7
2017-02-28,686.9
2017-02-27,687.2
2017-02-26,687.3
2017-02-25,687.2
2017-02-24,687.2
2017-02-23,687.0
2017-02-22,686.5
2017-02-21,686.0
2017-02-20,685.2
2017-02-19,684.4
2017-02-18,684.4
2017-02-17,684.2
2017-02-16,684.2
2017-02-15,683.7
2017-02-14,683.4
2017-02-13,683.3
2017-02-12,683.5
2017-02-11,683.4
2017-02-10,683.6
2017-02-09,683.6
2017-02-08,684.0
2017-02-07,684.2
2017-02-06,684.4
2017-02-05,684.5
2017-02-04,684.4
2017-02-03,684.1
2017-02-02,684.3
2017-02-01,684.7
2017-01-31,684.9
2017-01-30,685.1
2017-01-29,685.3
2017-01-28,685.3
2017-01-27,685.2
2017-01-26,685.3
2017-01-25,685.6
2017-01-24,685.9
2017-01-23,686.0
2017-01-22,686.0
2017-01-21,685.9
2017-01-20,685.6
2017-01-19,685.4
2017-01-18,684.9
2017-01-17,684.5
2017-01-16,684.0
2017-01-15,683.6
2017-01-14,683.3
2017-01-13,683.4
2017-01-12,683.5
2017-01-11,683.7
2017-01-10,683.7
2017-01-09,683.7
2017-01-08,683.9
2017-01-07,683.9
2017-01-06,684.4
2017-01-05,684.6
2017-01-04,684.8
2017-01-03,685.1
2017-01-02,685.5
2017-01-01,685.4
2016-12-31,685.4
2016-12-30,685.3
2016-12-29,685.5
2016-12-28,685.6
2016-12-27,685.6
2016-12-26,685.8
2016-12-25,686.0
2016-12-24,685.9
2016-12-23,685.7
2016-12-22,686.0
2016-12-21,686.0
2016-12-20,686.4
2016-12-19,686.4
2016-12-18,686.8
2016-12-17,686.9
2016-12-16,686.7
2016-12-15,686.9
2016-12-14,687.0
2016-12-13,687.3
2016-12-12,687.4
2016-12-11,687.5
2016-12-10,687.2
2016-12-09,686.6
2016-12-08,686.3
2016-12-07,686.1
2016-12-06,685.4
2016-12-05,684.7
2016-12-04,683.3
2016-12-03,681.7
2016-12-02,679.5
2016-12-01,679.4
2016-11-30,680.0
2016-11-29,680.1
2016-11-28,680.5
2016-11-27,680.4
2016-11-26,680.2
2016-11-25,680.1
2016-11-24,680.0
2016-11-23,680.3
2016-11-22,680.5
2016-11-21,680.7
2016-11-20,680.8
2016-11-19,680.6
2016-11-18,680.6
2016-11-17,680.7
2016-11-16,680.6
2016-11-15,680.6
2016-11-14,680.6
2016-11-13,680.6
2016-11-12,680.1
2016-11-11,679.5
2016-11-10,678.8
2016-11-09,678.1
2016-11-08,676.8
2016-11-07,676.5
2016-11-06,676.5
2016-11-05,675.9
2016-11-04,675.6
2016-11-03,675.3
2016-11-02,674.8
2016-11-01,674.5
2016-10-31,674.6
2016-10-30,674.5
2016-10-29,674.6
2016-10-28,674.5
2016-10-27,674.4
2016-10-26,674.8
2016-10-25,675.0
2016-10-24,675.2
2016-10-23,675.5
2016-10-22,674.9
2016-10-21,674.8
2016-10-20,675.0
2016-10-19,675.1
2016-10-18,675.4
2016-10-17,675.8
2016-10-16,676.0
2016-10-15,675.8
2016-10-14,675.7
2016-10-13,675.9
2016-10-12,676.1
2016-10-11,676.3
2016-10-10,676.8
2016-10-09,676.8
2016-10-08,676.6
2016-10-07,676.4
2016-10-06,676.7
2016-10-05,677.3
2016-10-04,677.7
2016-10-03,678.2
2016-10-02,678.4
2016-10-01,678.1
2016-09-30,678.0
2016-09-29,678.1
2016-09-28,678.1
2016-09-27,677.6
2016-09-26,676.4
2016-09-25,674.2
2016-09-24,673.4
2016-09-23,673.3
2016-09-22,673.3
2016-09-21,673.5
2016-09-20,673.4
2016-09-19,674.3
2016-09-18,674.8
2016-09-17,674.7
2016-09-16,674.5
2016-09-15,674.8
2016-09-14,674.9
2016-09-13,674.9
2016-09-12,675.2
2016-09-11,675.0
2016-09-10,674.7
2016-09-09,674.7
2016-09-08,675.2
2016-09-07,675.6
2016-09-06,675.5
2016-09-05,676.0
2016-09-04,675.8
2016-09-03,675.4
2016-09-02,675.0
