datetime,datetime_x,datetime_x,Comal River,Unnamed: 0_x,datetime_y,Comal Rv (nc),Unnamed: 0_y,datetime.1,Comal Rv (oc),datetime_y,MaxLevel
2015-01-22,2015-01-22 00:00:00,2015-01-22 00:00:00,146.0,25152,2015-01-22 00:00:00,86.7,101211,2015-01-22 00:00:00,57.6,2015-01-22,824.3
2015-01-23,2015-01-23 00:00:00,2015-01-23 00:00:00,307.0,25248,2015-01-23 00:00:00,105.0,101307,2015-01-23 00:00:00,58.3,2015-01-23,824.3
2015-01-24,2015-01-24 00:00:00,2015-01-24 00:00:00,180.0,25344,2015-01-24 00:00:00,107.0,101403,2015-01-24 00:00:00,59.0,2015-01-24,824.4
2015-01-25,2015-01-25 00:00:00,2015-01-25 00:00:00,172.0,25440,2015-01-25 00:00:00,111.0,101499,2015-01-25 00:00:00,60.3,2015-01-25,824.4
2015-01-26,2015-01-26 00:00:00,2015-01-26 00:00:00,172.0,25536,2015-01-26 00:00:00,113.0,101595,2015-01-26 00:00:00,59.6,2015-01-26,824.4
2015-01-27,2015-01-27 00:00:00,2015-01-27 00:00:00,167.0,25632,2015-01-27 00:00:00,115.0,101691,2015-01-27 00:00:00,60.3,2015-01-27,824.4
2015-01-28,2015-01-28 00:00:00,2015-01-28 00:00:00,172.0,25728,2015-01-28 00:00:00,113.0,101787,2015-01-28 00:00:00,60.3,2015-01-28,824.4
2015-01-29,2015-01-29 00:00:00,2015-01-29 00:00:00,172.0,25824,2015-01-29 00:00:00,115.0,101883,2015-01-29 00:00:00,60.3,2015-01-29,824.5
2015-01-30,2015-01-30 00:00:00,2015-01-30 00:00:00,172.0,25920,2015-01-30 00:00:00,130.0,101979,2015-01-30 00:00:00,49.2,2015-01-30,824.5
2015-01-31,2015-01-31 00:00:00,2015-01-31 00:00:00,175.0,26016,2015-01-31 00:00:00,122.0,102075,2015-01-31 00:00:00,54.4,2015-01-31,824.5
2015-02-01,2015-02-01 00:00:00,2015-02-01 00:00:00,175.0,26112,2015-02-01 00:00:00,124.0,102171,2015-02-01 00:00:00,55.7,2015-02-01,824.5
2015-02-02,2015-02-02 00:00:00,2015-02-02 00:00:00,178.0,26208,2015-02-02 00:00:00,124.0,102267,2015-02-02 00:00:00,55.7,2015-02-02,824.5
2015-02-03,2015-02-03 00:00:00,2015-02-03 00:00:00,180.0,26304,2015-02-03 00:00:00,126.0,102363,2015-02-03 00:00:00,56.3,2015-02-03,824.5
2015-02-04,2015-02-04 00:00:00,2015-02-04 00:00:00,195.0,26400,2015-02-04 00:00:00,120.0,102459,2015-02-04 00:00:00,60.3,2015-02-04,824.5
2015-02-05,2015-02-05 00:00:00,2015-02-05 00:00:00,192.0,26496,2015-02-05 00:00:00,124.0,102555,2015-02-05 00:00:00,53.7,2015-02-05,824.4
2015-02-06,2015-02-06 00:00:00,2015-02-06 00:00:00,189.0,26592,2015-02-06 00:00:00,124.0,102651,2015-02-06 00:00:00,53.1,2015-02-06,824.4
2015-02-07,2015-02-07 00:00:00,2015-02-07 00:00:00,186.0,26688,2015-02-07 00:00:00,128.0,102747,2015-02-07 00:00:00,51.2,2015-02-07,824.5
2015-02-08,2015-02-08 00:00:00,2015-02-08 00:00:00,192.0,26784,2015-02-08 00:00:00,131.0,102843,2015-02-08 00:00:00,54.4,2015-02-08,824.5
2015-02-09,2015-02-09 00:00:00,2015-02-09 00:00:00,198.0,26880,2015-02-09 00:00:00,130.0,102939,2015-02-09 00:00:00,55.0,2015-02-09,824.5
2015-02-10,2015-02-10 00:00:00,2015-02-10 00:00:00,189.0,26976,2015-02-10 00:00:00,133.0,103035,2015-02-10 00:00:00,55.7,2015-02-10,824.4
2015-02-11,2015-02-11 00:00:00,2015-02-11 00:00:00,189.0,27072,2015-02-11 00:00:00,131.0,103131,2015-02-11 00:00:00,55.0,2015-02-11,824.5
2015-02-12,2015-02-12 00:00:00,2015-02-12 00:00:00,192.0,27168,2015-02-12 00:00:00,133.0,103227,2015-02-12 00:00:00,54.4,2015-02-12,824.4
2015-02-13,2015-02-13 00:00:00,2015-02-13 00:00:00,189.0,27264,2015-02-13 00:00:00,131.0,103323,2015-02-13 00:00:00,55.0,2015-02-13,824.4
2015-02-14,2015-02-14 00:00:00,2015-02-14 00:00:00,192.0,27360,2015-02-14 00:00:00,124.0,103419,2015-02-14 00:00:00,59.6,2015-02-14,824.4
2015-02-15,2015-02-15 00:00:00,2015-02-15 00:00:00,195.0,27456,2015-02-15 00:00:00,128.0,103515,2015-02-15 00:00:00,59.6,2015-02-15,824.5
2015-02-16,2015-02-16 00:00:00,2015-02-16 00:00:00,195.0,27552,2015-02-16 00:00:00,130.0,103611,2015-02-16 00:00:00,59.6,2015-02-16,824.5
2015-02-17,2015-02-17 00:00:00,2015-02-17 00:00:00,192.0,27648,2015-02-17 00:00:00,128.0,103707,2015-02-17 00:00:00,62.2,2015-02-17,824.4
