pdate,MaxLevel
"1970-10-09 00:00:00",662.59
"1970-10-08 00:00:00",662.55
"1970-10-07 00:00:00",662.3
"1970-10-06 00:00:00",662.3
"1970-10-05 00:00:00",662.12
"1970-10-04 00:00:00",661.95
"1970-10-03 00:00:00",661.91
"1970-10-02 00:00:00",661.89
"1970-10-01 00:00:00",661.92
"1970-09-30 00:00:00",661.62
"1970-09-29 00:00:00",661.64
"1970-09-28 00:00:00",661.79
"1970-09-27 00:00:00",661.21
"1970-09-26 00:00:00",660.15
"1970-09-25 00:00:00",658.64
"1970-09-24 00:00:00",658.27
"1970-09-23 00:00:00",656.96
"1970-09-22 00:00:00",657.29
"1970-09-21 00:00:00",657.34
"1970-09-20 00:00:00",656.6
"1970-09-19 00:00:00",656.51
"1970-09-18 00:00:00",656.47
"1970-09-17 00:00:00",656.58
"1970-09-16 00:00:00",656.18
"1970-09-15 00:00:00",655.88
"1970-09-14 00:00:00",655.23
"1970-09-13 00:00:00",653.95
"1970-09-12 00:00:00",652.05
"1970-09-11 00:00:00",651.02
"1970-09-10 00:00:00",650.41
"1970-09-09 00:00:00",651.05
"1970-09-08 00:00:00",651.9
"1970-09-07 00:00:00",652.98
"1970-09-06 00:00:00",652.73
"1970-09-05 00:00:00",652.9
"1970-09-04 00:00:00",652.81
"1970-09-03 00:00:00",653.86
"1970-09-02 00:00:00",654.4
"1970-09-01 00:00:00",653.7
"1970-08-31 00:00:00",653.87
"1970-08-30 00:00:00",654.2
"1970-08-29 00:00:00",653.63
"1970-08-28 00:00:00",653.63
"1970-08-27 00:00:00",654.23
"1970-08-26 00:00:00",654.9
"1970-08-25 00:00:00",655.37
"1970-08-24 00:00:00",654.93
"1970-08-23 00:00:00",653.94
"1970-08-22 00:00:00",653.95
"1970-08-21 00:00:00",654.15
"1970-08-20 00:00:00",654.55
"1970-08-19 00:00:00",655.09
"1970-08-18 00:00:00",656.07
"1970-08-17 00:00:00",657.07
"1970-08-16 00:00:00",657.14
"1970-08-15 00:00:00",655.5
"1970-08-14 00:00:00",655.83
"1970-08-13 00:00:00",656.34
"1970-08-12 00:00:00",656.94
"1970-08-11 00:00:00",656.23
"1970-08-10 00:00:00",657.89
"1970-08-09 00:00:00",658.48
"1970-08-08 00:00:00",658.75
"1970-08-07 00:00:00",659.24
"1970-08-06 00:00:00",659.58
"1970-08-05 00:00:00",659.69
"1970-08-04 00:00:00",658.5
"1970-08-03 00:00:00",656.94
